Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Dataset Type
fv1.9x2.5_141008_ESMFmesh.nc,UFS_WM,NAGAPE,,,,,.nc,846588,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Solr.1999-12.nc,UFS_WM,NAGAPE,,,,,.nc,259202520,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.SCRIP.210520_ESMFmesh.nc,UFS_WM,NAGAPE,,,,,.nc,16601532,,DATM_GSWP3_input_data
topodata_0.9x1.25_USGS_070110_stream_c151201.nc,UFS_WM,NAGAPE,,,,,.nc,1992888,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Solr.2000-01.nc,UFS_WM,NAGAPE,,,,,.nc,259202520,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,UFS_WM,NAGAPE,,,,,.nc,259202484,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.2000-01.nc,UFS_WM,NAGAPE,,,,,.nc,1287709152,,DATM_GSWP3_input_data
topodata_0.9x1.SCRIP.210520_ESMFmesh.nc,UFS_WM,NAGAPE,,,,,.nc,3547832,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Prec.1999-12.nc,UFS_WM,NAGAPE,,,,,.nc,259202484,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.1999-12.nc,UFS_WM,NAGAPE,,,,,.nc,1287709152,,DATM_GSWP3_input_data
C96.slope_type.tile1.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119550,,FV3_fix_tiled
C96.substrate_temperature.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119595,,FV3_fix_tiled
C96.vegetation_greenness.tile6.nc,UFS_WM,NAGAPE,C96,,96,,.nc,525039,,FV3_fix_tiled
C96.maximum_snow_albedo.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119490,,FV3_fix_tiled
C96.snowfree_albedo.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,1857404,,FV3_fix_tiled
C96.vegetation_greenness.tile5.nc,UFS_WM,NAGAPE,C96,,96,,.nc,525039,,FV3_fix_tiled
C96.soil_color.tile1.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119613,,FV3_fix_tiled
C96.snowfree_albedo.tile6.nc,UFS_WM,NAGAPE,C96,,96,,.nc,1857404,,FV3_fix_tiled
C96.substrate_temperature.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119595,,FV3_fix_tiled
oro_C96.mx100.tile5.nc,UFS_WM,NAGAPE,C96,,96,100,.nc,834883,,FV3_fix_tiled
C96.soil_color.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119613,,FV3_fix_tiled
C96.maximum_snow_albedo.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119490,,FV3_fix_tiled
C96.substrate_temperature.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119595,,FV3_fix_tiled
C96.vegetation_type.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119589,,FV3_fix_tiled
C96.soil_color.tile5.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119613,,FV3_fix_tiled
C96.soil_color.tile6.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119613,,FV3_fix_tiled
oro_C96.mx100.tile4.nc,UFS_WM,NAGAPE,C96,,96,100,.nc,834883,,FV3_fix_tiled
C96.facsf.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119545,,FV3_fix_tiled
