Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,File Size (Bytes),Category,Sub-Category,Dataset,Version
C775_grid.tile7.halo3.nc,AQM,775,,,,.nc,21500789,,INPUT,input-data-20221101,
FENGSHA_p8_10km_inputs_RRFS_CONUScompact_13km.nc,AQM,,,,,.nc,9801110,,INPUT,input-data-20221101,
gfs_bndy.tile7.000.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.006.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.012.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.018.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.024.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.030.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.036.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.042.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_bndy.tile7.048.nc,AQM,,,,,.nc,86957395,,INPUT,input-data-20221101,
gfs_ctrl.nc,AQM,,,,,.nc,7545,,INPUT,input-data-20221101,
gfs_data.nc,AQM,,,,,.nc,9511622669,,INPUT,input-data-20221101,
gfs_data.tile7.halo0.nc,AQM,,,,,.nc,9511622669,,INPUT,input-data-20221101,
grid.tile7.halo4.nc,AQM,,,,,.nc,21788725,,INPUT,input-data-20221101,
grid_spec.nc,AQM,,,,,.nc,9418,,INPUT,input-data-20221101,
oro_data.nc,AQM,,,,,.nc,7370114,,INPUT,input-data-20221101,
oro_data.tile7.halo4.nc,AQM,,,,,.nc,7777154,,INPUT,input-data-20221101,
sfc_data.nc,AQM,,,,,.nc,46360287,,INPUT,input-data-20221101,
sfc_data.tile7.halo0.nc,AQM,,,,,.nc,46360287,,INPUT,input-data-20221101,
HEMCO_sa_Diagn.rc,AQM,,,,,.rc,3266,,NEXUS,input-data-20221101,
HEMCO_sa_Grid.rc,AQM,,,,,.rc,105,,NEXUS,input-data-20221101,
HEMCO_sa_Spec.rc,AQM,,,,,.rc,3009,,NEXUS,input-data-20221101,
HEMCO_sa_Time.rc,AQM,,,,,.rc,252,,NEXUS,input-data-20221101,
NEXUS.log,AQM,,,,,.log,60831115,,NEXUS,input-data-20221101,
NEXUS_Config.rc,AQM,,,,,.rc,205053,,NEXUS,input-data-20221101,
NEXUS_Expt.nc,AQM,,,,,.nc,1005452152,,NEXUS,input-data-20221101,
grid_spec.nc,AQM,,,,,.nc,1875019,,NEXUS,input-data-20221101,
AF_LANDMASK.geos.05x0666.global.nc,AQM,,,,,.nc,22670,MASKS,NEXUS,input-data-20221101,2014-07
AF_LANDMASK.geos.05x0666.nc,AQM,,,,,.nc,18381,MASKS,NEXUS,input-data-20221101,2014-07
BRAVO.MexicoMask.generic.1x1.nc,AQM,,,,,.nc,22821,MASKS,NEXUS,input-data-20221101,2014-07
BRAVO_MexicoMask.geos.1x1.nc,AQM,,,,,.nc,23018,MASKS,NEXUS,input-data-20221101,2014-07
CONUS_Mask.001x001.nc,AQM,,,,,.nc,564066,MASKS,NEXUS,input-data-20221101,2014-07
CONUS_Mask_Mirror.001x001.nc,AQM,,,,,.nc,580195,MASKS,NEXUS,input-data-20221101,2014-07
Canada_Mask.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,1709756,MASKS,NEXUS,input-data-20221101,2014-07
Canada_Mask_Mirror.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,1791807,MASKS,NEXUS,input-data-20221101,2014-07
Canada_and_USA_mask.geos.1x1.nc,AQM,,,,,.nc,23436,MASKS,NEXUS,input-data-20221101,2014-07
Canada_mask.gen.1x1.nc,AQM,,,,,.nc,24289,MASKS,NEXUS,input-data-20221101,2014-07
Canada_mask.geos.1x1.nc,AQM,,,,,.nc,23172,MASKS,NEXUS,input-data-20221101,2014-07
China_mask.generic.1x1.nc,AQM,,,,,.nc,22951,MASKS,NEXUS,input-data-20221101,2014-07
EMEP_mask.geos.1x1.20151222.nc,AQM,,,,,.nc,19610,MASKS,NEXUS,input-data-20221101,2014-07
EMEP_mask.geos.1x1.nc,AQM,,,,,.nc,22940,MASKS,NEXUS,input-data-20221101,2014-07
EU_mask.generic.1x1.nc,AQM,,,,,.nc,19395,MASKS,NEXUS,input-data-20221101,2014-07
GEOS5.20060101.generic.1x1.nc,AQM,,,,,.nc,0,MASKS,NEXUS,input-data-20221101,2014-07
GEOS5.4x5.20060101.nc,AQM,,,,,.nc,2385508,MASKS,NEXUS,input-data-20221101,2014-07
India_mask.generic.1x1.nc,AQM,,,,,.nc,19244,MASKS,NEXUS,input-data-20221101,2014-07
MIX_Asia_mask.generic.025x025.nc,AQM,,,,,.nc,45176,MASKS,NEXUS,input-data-20221101,2014-07
MIX_Asia_mask.generic.025x025.w_Russia.nc,AQM,,,,,.nc,46112,MASKS,NEXUS,input-data-20221101,2014-07
Mexico_Mask.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,1420811,MASKS,NEXUS,input-data-20221101,2014-07
Mexico_Mask_Mirror.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,1559483,MASKS,NEXUS,input-data-20221101,2014-07
NA_mask.geos.1x1.nc,AQM,,,,,.nc,23150,MASKS,NEXUS,input-data-20221101,2014-07
SE_Asia_mask.generic.1x1.nc,AQM,,,,,.nc,23204,MASKS,NEXUS,input-data-20221101,2014-07
USA_LANDMASK_NEI2011_0.1x0.1.20160921.nc,AQM,,,,,.nc,39010,MASKS,NEXUS,input-data-20221101,2014-07
USA_LANDMASK_NEI2011_0.1x0.1.nc,AQM,,,,,.nc,36591,MASKS,NEXUS,input-data-20221101,2014-07
USA_LANDMASK_NEI2016Beta_0.1x0.1.nc,AQM,,,,,.nc,36591,MASKS,NEXUS,input-data-20221101,2014-07
USA_LANDMASK_NEI2016v1_0.1x0.1.nc,AQM,,,,,.nc,36591,MASKS,NEXUS,input-data-20221101,2014-07
USA_NEI2011ek_mask.nc,AQM,,,,,.nc,23249,MASKS,NEXUS,input-data-20221101,2014-07
USA_mask.geos.1x1.nc,AQM,,,,,.nc,22955,MASKS,NEXUS,input-data-20221101,2014-07
bad.USA_LANDMASK_NEI2011_0.1x0.1.nc,AQM,,,,,.nc,28693,MASKS,NEXUS,input-data-20221101,2014-07
country_codes.csv,AQM,,,,,.csv,26388,MASKS,NEXUS,input-data-20221101,2014-07
countrymask_0.1x0.1.nc,AQM,,,,,.nc,0,MASKS,NEXUS,input-data-20221101,2014-07
mx.usa.geos.1x1.nc,AQM,,,,,.nc,23251,MASKS,NEXUS,input-data-20221101,2014-07
sfca.gc.geos.4x5.nc,AQM,,,,,.nc,17845,MASKS,NEXUS,input-data-20221101,2014-07
tagged_CO_masks.generic.0.5x0.5.nc,AQM,,,,,.nc,151991,MASKS,NEXUS,input-data-20221101,2014-07
tagged_CO_masks.generic.1x1.nc,AQM,,,,,.nc,77060,MASKS,NEXUS,input-data-20221101,2014-07
tagged_CO_masks.generic.2x2.nc,AQM,,,,,.nc,63980,MASKS,NEXUS,input-data-20221101,2014-07
uniform.geos.1x1.nc,AQM,,,,,.nc,23049,MASKS,NEXUS,input-data-20221101,2014-07
uniform.geos.4x5.nc,AQM,,,,,.nc,21221,MASKS,NEXUS,input-data-20221101,2014-07
usa.can.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,22823,MASKS,NEXUS,input-data-20221101,2014-07
usa.can.mex.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,22880,MASKS,NEXUS,input-data-20221101,2014-07
usa.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,22867,MASKS,NEXUS,input-data-20221101,2014-07
usa.mask.nei2008.geos.1x1.nc,AQM,,,,,.nc,17336,MASKS,NEXUS,input-data-20221101,2014-07
usa.mex.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,22901,MASKS,NEXUS,input-data-20221101,2014-07
