Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
ufs.cpld.lnd.out.2000-01-02-00000.tile1.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
ufs.cpld.lnd.out.2000-01-02-00000.tile4.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
ufs.cpld.lnd.out.2000-01-02-00000.tile2.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
ufs.cpld.lnd.out.2000-01-02-00000.tile6.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
ufs.cpld.lnd.out.2000-01-02-00000.tile5.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
ufs.cpld.lnd.out.2000-01-02-00000.tile3.nc,develop-20230816,NEMSfv3gfs,,,.nc,11555364,,datm_cdeps_lnd_gswp3,INTEL,develop-20230816
C96_grid.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
C96_grid.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
C96_grid.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
C96_grid.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
grid_spec.nc,input-data-20221101,NEMSfv3gfs,,,.nc,21966,,INPUT,FV3_input_data,input-data-20221101
C96_grid.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
C96_grid.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,2094935,,INPUT,FV3_input_data,input-data-20221101
ufs-land_C96_init_fields.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
ufs-land_C96_init_fields.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
ufs-land_C96_init_fields.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
ufs-land_C96_init_fields.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
ufs-land_C96_init_fields.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
ufs-land_C96_init_fields.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,665156,,,NOAHMP_IC,input-data-20221101
