Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
ufs_land_restart.2020-10-01_18-00-00.nc,inputs,,restarts,era5,,,.nc,13787900,
ufs_land_restart.2020-10-01_18-00-00.nc.orig,inputs,,restarts,era5,,,.orig,14111215,
oro_C96.mx100.tile2.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
oro_C96.mx100.tile4.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
oro_C96.mx100.tile6.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
oro_C96.mx100.tile3.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
oro_C96.mx100.tile5.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
oro_C96.mx100.tile1.nc,inputs,orog_files,forcing,era5,96,100,.nc,834883,
C96_ERA5_forcing_2021-07-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-31.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
