Data File,Category,Sub-Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Dataset Type
C96.soil_type.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
C96.slope_type.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.snowfree_albedo.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
oro_C96.mx100.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.vegetation_type.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.maximum_snow_albedo.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
C96.vegetation_greenness.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.soil_color.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.snowfree_albedo.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
C96.facsf.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
oro_C96.mx100.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.slope_type.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.soil_color.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.substrate_temperature.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
oro_C96.mx100.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.soil_color.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.slope_type.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.soil_type.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
oro_C96.mx100.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.snowfree_albedo.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
C96.vegetation_type.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.soil_type.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
C96.vegetation_greenness.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.vegetation_type.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.facsf.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
C96.maximum_snow_albedo.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
oro_C96.mx100.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.substrate_temperature.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
C96.vegetation_type.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.facsf.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
C96.vegetation_type.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.soil_type.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
C96.vegetation_greenness.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.snowfree_albedo.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
C96.soil_color.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.vegetation_greenness.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.maximum_snow_albedo.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
C96.substrate_temperature.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
C96.maximum_snow_albedo.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
C96.facsf.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
C96.maximum_snow_albedo.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
C96.soil_color.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.soil_color.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119613,,input-data-20221101
C96.snowfree_albedo.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
C96.vegetation_greenness.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.facsf.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
C96.soil_type.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
C96.snowfree_albedo.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,1857404,,input-data-20221101
C96.maximum_snow_albedo.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119490,,input-data-20221101
C96.slope_type.tile5.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.slope_type.tile4.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.facsf.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119545,,input-data-20221101
C96.soil_type.tile3.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119480,,input-data-20221101
C96.vegetation_type.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119589,,input-data-20221101
C96.substrate_temperature.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
