Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
ufs_land_restart.2016-01-01_18-00-00.nc,inputs,gdas,restarts,,,,.nc,13816008,
ufs_land_restart.2015-09-01_18-00-00.nc,inputs,gdas,restarts,,,,.nc,13816008,
C96_oro_data.tile2.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
oro_C96.mx100.tile2.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
oro_C96.mx100.tile4.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
C96_oro_data.tile4.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
C96_grid.tile3.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
C96_grid.tile4.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
C96_grid.tile5.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
oro_C96.mx100.tile6.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
oro_C96.mx100.tile3.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
C96_grid.tile2.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
C96_oro_data.tile5.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
C96_oro_data.tile3.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
oro_C96.mx100.tile5.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
C96_oro_data.tile1.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
C96_oro_data.tile6.nc,inputs,gdas,forcing,orog_files,96,,.nc,833585,
C96_grid.tile1.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
C96_grid.tile6.nc,inputs,gdas,forcing,orog_files,96,,.nc,2094971,
oro_C96.mx100.tile1.nc,inputs,gdas,forcing,orog_files,96,100,.nc,833585,
ufs-land_C96_init_fields_1hr.nc,inputs,gdas,forcing,init,96,,.nc,1323952,
ufs-land.namelist.gdas,inputs,gdas,forcing,gdas,,,.gdas,2850,
C96_GDAS_forcing_2016-05-15.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-25.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-17.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-18.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-06.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
