Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),Sub-Category 1,Sub-Category 2,Sub-Category 3,Sub-Category 4,Sub-Category 5
ufs-land_C96_init_fields.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
ufs-land_C96_init_fields.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
ufs-land_C96_init_fields.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
ufs-land_C96_init_fields.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
ufs-land_C96_init_fields.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
ufs-land_C96_init_fields.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,665156,NEMSfv3gfs,NOAHMP_IC,,inputs,
C96_grid.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96_grid.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96_grid.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96_grid.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96_grid.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
grid_spec.nc,Landda_develop_data,input-data-20221101,,,.nc,21966,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96_grid.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,2094935,NEMSfv3gfs,FV3_input_data,INPUT,inputs,
C96.soil_color.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile2.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile3.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile1.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile6.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile4.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile5.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,Landda_develop_data,input-data-20221101,,,.nc,259202484,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
