Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Sub-Category 1,Sub-Category 2,Sub-Category 3
ufs.cpld.lnd.out.2000-01-02-00000.tile1.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs.cpld.lnd.out.2000-01-02-00000.tile5.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs.cpld.lnd.out.2000-01-02-00000.tile3.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs.cpld.lnd.out.2000-01-02-00000.tile6.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs.cpld.lnd.out.2000-01-02-00000.tile4.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs.cpld.lnd.out.2000-01-02-00000.tile2.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,datm_cdeps_lnd_gswp3_intel,,
ufs_land_restart_back.2019-12-22_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14102479,,restarts,,
ufs_land_restart_anal.2019-12-22_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,restarts,,
ufs_land_restart.2019-12-21_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,restarts,,
ufs_land_restart_back.2019-12-23_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,restarts,,
ufs_land_restart_anal.2019-12-21_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,restarts,,
ufs_land_restart.2019-12-22_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14102479,,restarts,,
ufs_land_restart_back.2019-12-21_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,restarts,,
C192.facsf.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
C192.maximum_snow_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
C192.maximum_snow_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
C192.vegetation_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
C192.soil_color.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.snowfree_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
C192_grid.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.soil_color.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.soil_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.slope_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.snowfree_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
oro_C192.mx050.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.vegetation_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
C192_grid.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.vegetation_greenness.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
C192.vegetation_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
C192_grid.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.snowfree_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
