Data File,Test Name,Compiler,Category,File Size (Bytes),Data Format,Dataset
GFSFLX.GrbF00,atmaero_control_p8,intel,,2759605,.GrbF00,develop-20231108
GFSFLX.GrbF24,atmaero_control_p8,intel,,6626079,.GrbF24,develop-20231108
GFSPRS.GrbF00,atmaero_control_p8,intel,,69287418,.GrbF00,develop-20231108
GFSPRS.GrbF24,atmaero_control_p8,intel,,68678366,.GrbF24,develop-20231108
20210323.060000.coupler.res,atmaero_control_p8,intel,RESTART,300,.res,develop-20231108
20210323.060000.fv_core.res.nc,atmaero_control_p8,intel,RESTART,20852,.nc,develop-20231108
20210323.060000.fv_core.res.tile1.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_core.res.tile2.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_core.res.tile3.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_core.res.tile4.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_core.res.tile5.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_core.res.tile6.nc,atmaero_control_p8,intel,RESTART,37734927,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile1.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile2.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile3.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile4.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile5.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_srf_wnd.res.tile6.nc,atmaero_control_p8,intel,RESTART,96195,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile1.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile2.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile3.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile4.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile5.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.fv_tracer.res.tile6.nc,atmaero_control_p8,intel,RESTART,164412688,.nc,develop-20231108
20210323.060000.phy_data.tile1.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.phy_data.tile2.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.phy_data.tile3.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.phy_data.tile4.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.phy_data.tile5.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.phy_data.tile6.nc,atmaero_control_p8,intel,RESTART,39084643,.nc,develop-20231108
20210323.060000.sfc_data.tile1.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
20210323.060000.sfc_data.tile2.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
20210323.060000.sfc_data.tile3.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
20210323.060000.sfc_data.tile4.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
20210323.060000.sfc_data.tile5.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
20210323.060000.sfc_data.tile6.nc,atmaero_control_p8,intel,RESTART,10004434,.nc,develop-20231108
atmf000.nc,atmaero_control_p8,intel,,1410322336,.nc,develop-20231108
atmf024.nc,atmaero_control_p8,intel,,1410322336,.nc,develop-20231108
gocart.inst_aod.20210323_0600z.nc4,atmaero_control_p8,intel,,29186100,.nc4,develop-20231108
sfcf000.nc,atmaero_control_p8,intel,,85452865,.nc,develop-20231108
sfcf024.nc,atmaero_control_p8,intel,,85452865,.nc,develop-20231108
GFSFLX.GrbF00,atmaero_control_p8_rad,intel,,2760509,.GrbF00,develop-20231108
GFSFLX.GrbF24,atmaero_control_p8_rad,intel,,6637888,.GrbF24,develop-20231108
GFSPRS.GrbF00,atmaero_control_p8_rad,intel,,69214443,.GrbF00,develop-20231108
GFSPRS.GrbF24,atmaero_control_p8_rad,intel,,68624054,.GrbF24,develop-20231108
20210323.060000.coupler.res,atmaero_control_p8_rad,intel,RESTART,300,.res,develop-20231108
20210323.060000.fv_core.res.nc,atmaero_control_p8_rad,intel,RESTART,20852,.nc,develop-20231108
20210323.060000.fv_core.res.tile1.nc,atmaero_control_p8_rad,intel,RESTART,37734927,.nc,develop-20231108
