Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,Category,Sub-Category,Dataset,File Size (Bytes),Version
C775_grid.tile7.halo3.nc,AQM,775,,,,.nc,,INPUT,input-data-20221101,21500789,
FENGSHA_p8_10km_inputs_RRFS_CONUScompact_13km.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,9801110,
gfs_bndy.tile7.000.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.006.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.012.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.018.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.024.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.030.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.036.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.042.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_bndy.tile7.048.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,86957395,
gfs_ctrl.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,7545,
gfs_data.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,9511622669,
gfs_data.tile7.halo0.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,9511622669,
grid.tile7.halo4.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,21788725,
grid_spec.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,9418,
oro_data.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,7370114,
oro_data.tile7.halo4.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,7777154,
sfc_data.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,46360287,
sfc_data.tile7.halo0.nc,AQM,,,,,.nc,,INPUT,input-data-20221101,46360287,
HEMCO_sa_Diagn.rc,AQM,,,,,.rc,,NEXUS,input-data-20221101,3266,
HEMCO_sa_Grid.rc,AQM,,,,,.rc,,NEXUS,input-data-20221101,105,
HEMCO_sa_Spec.rc,AQM,,,,,.rc,,NEXUS,input-data-20221101,3009,
HEMCO_sa_Time.rc,AQM,,,,,.rc,,NEXUS,input-data-20221101,252,
NEXUS.log,AQM,,,,,.log,,NEXUS,input-data-20221101,60831115,
NEXUS_Config.rc,AQM,,,,,.rc,,NEXUS,input-data-20221101,205053,
NEXUS_Expt.nc,AQM,,,,,.nc,,NEXUS,input-data-20221101,1005452152,
grid_spec.nc,AQM,,,,,.nc,,NEXUS,input-data-20221101,1875019,
AF_LANDMASK.geos.05x0666.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22670,2014-07
AF_LANDMASK.geos.05x0666.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,18381,2014-07
BRAVO.MexicoMask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22821,2014-07
BRAVO_MexicoMask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23018,2014-07
CONUS_Mask.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,564066,2014-07
CONUS_Mask_Mirror.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,580195,2014-07
Canada_Mask.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1709756,2014-07
Canada_Mask_Mirror.Extended_NAgrid.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1791807,2014-07
Canada_and_USA_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23436,2014-07
Canada_mask.gen.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,24289,2014-07
Canada_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23172,2014-07
China_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22951,2014-07
EMEP_mask.geos.1x1.20151222.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,19610,2014-07
EMEP_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22940,2014-07
EU_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,19395,2014-07
GEOS5.20060101.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,0,2014-07
